VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

   58   458.966    52.692  0.039  0.012    7.759  112.047  4651.114  6806.409   4.455   2.458   13.073   50.699  456  462   51   54 +2.591229e+06 +1.059394e+04 +2.747393e+07 0.00000 1 None   50    1
   59   667.079    52.728  0.081  0.018    6.741  112.035  4040.432  6805.661   5.903   2.890   17.321   59.601  663  671   51   55 +2.200043e+06 +1.040243e+04 +4.447416e+07 0.00000 1 None   49    5
   60   470.242    54.949  0.063  0.008    7.704  111.281  4618.026  6759.858   4.713   2.294   13.830   47.317  467  473   54   57 +2.216038e+06 +1.032744e+04 +2.401185e+07 0.00000 1 None   51    1
   61   502.178    54.800  0.106  0.020    7.548  111.331  4524.314  6762.922   4.697   2.355   13.781   48.567  499  505   54   56 +1.199005e+06 +1.042779e+04 +1.228251e+07 0.00000 1 None   52    1
   62   652.168    54.756  0.093  0.011    6.814  111.346  4084.187  6763.830   5.855   2.300   17.181   47.428  648  656   53   57 +2.116852e+06 +1.044693e+04 +3.737649e+07 0.00000 1 None   49    5
   63   663.225    54.853  0.131  0.011    6.759  111.313  4051.739  6761.843   6.635   2.402   19.469   49.535  658  668   53   57 +2.054204e+06 +1.029873e+04 +4.553847e+07 0.00000 1 None   49    5
   64   478.068    58.330  0.048  0.013    7.666  110.133  4595.062  6690.126   4.472   2.353   13.122   48.527  475  481   57   60 +2.215004e+06 +1.069325e+04 +2.391400e+07 0.00000 1 None   53    1
   65   650.241    58.260  0.087  0.011    6.823  110.157  4089.841  6691.568   5.631   2.389   16.523   49.273  646  654   56   60 +2.377139e+06 +1.046690e+04 +3.753702e+07 0.00000 1 None   49    5
   66   441.263    59.117  0.094  0.013    7.846  109.866  4703.061  6673.893   4.674   2.311   13.715   47.670  438  444   58   61 +1.529101e+06 +1.039986e+04 +1.834016e+07 0.00000 1 None   54    2
   67   634.801    59.043  0.105  0.009    6.899  109.891  4135.148  6675.408   5.728   2.220   16.808   45.781  631  639   58   60 +1.816504e+06 +1.024161e+04 +2.212103e+07 0.00000 1 None   55    1
   68   216.742    61.475  0.254  0.021    8.945  109.065  5361.894  6625.254   7.454   2.303   21.874   47.501  212  222   61   62 +1.673922e+06 +1.110184e+04 +2.208527e+07 0.00000 1 None   56    1
   69   304.199    61.780  0.142  0.010    8.517  108.961  5105.259  6618.963   6.715   2.100   19.705   43.318  299  309   61   63 +1.921708e+06 +1.043613e+04 +2.606344e+07 0.00000 1 None   57    1
   70   432.664    61.622  0.144  0.011    7.888  109.015  4728.294  6622.226   6.502   2.201   19.080   45.401  428  438   61   63 +2.422871e+06 +1.086490e+04 +3.231470e+07 0.00000 1 None   54    2
   71   559.748    63.809  0.095  0.006    7.266  108.272  4355.382  6577.113   6.536   2.067   19.179   42.634  555  565   63   65 +2.944851e+06 +1.040377e+04 +3.794993e+07 0.00000 1 None   58    1
   72   386.990    20.430  0.141  0.009    8.112  123.001  4862.319  7471.813   6.829   2.143   20.039   44.199  381  392   18   21 +3.500740e+06 +1.348310e+04 +0.000000e+00 0.00000 1 None   11    3
   73   284.935    33.162  0.141  0.009    8.611  118.678  5161.788  7209.206   6.829   2.143   20.039   44.199  279  290   31   34 +2.049076e+06 +1.348310e+04 +0.000000e+00 0.00000 1 None   33    2
